step,target,current,error,control
1,100.00,5.7600,94.2400,115.2000
2,100.00,7.1982,92.8018,28.7645
3,100.00,8.7934,91.2066,31.9041
4,100.00,10.3636,89.6364,31.4026
5,100.00,11.9162,88.0838,31.0524
6,100.00,13.4511,86.5489,30.6992
7,100.00,14.9686,85.0314,30.3492
8,100.00,16.4687,83.5313,30.0021
9,100.00,17.9516,82.0484,29.6580
10,100.00,19.4175,80.5825,29.3169
11,100.00,20.8664,79.1336,28.9786
12,100.00,22.2985,77.7015,28.6433
13,100.00,23.7141,76.2859,28.3109
14,100.00,25.1132,74.8868,27.9813
15,100.00,26.4959,73.5041,27.6546
16,100.00,27.8624,72.1376,27.3307
17,100.00,29.2129,70.7871,27.0096
18,100.00,30.5475,69.4525,26.6914
19,100.00,31.8663,68.1337,26.3759
20,100.00,33.1694,66.8306,26.0632
21,100.00,34.4571,65.5429,25.7533
22,100.00,35.7294,64.2706,25.4461
23,100.00,36.9865,63.0135,25.1416
24,100.00,38.2285,61.7715,24.8398
25,100.00,39.4555,60.5445,24.5408
26,100.00,40.6677,59.3323,24.2444
27,100.00,41.8653,58.1347,23.9506
28,100.00,43.0482,56.9518,23.6595
29,100.00,44.2168,55.7832,23.3710
30,100.00,45.3710,54.6290,23.0851
31,100.00,46.5111,53.4889,22.8018
32,100.00,47.6372,52.3628,22.5211
33,100.00,48.7493,51.2507,22.2429
34,100.00,49.8477,50.1523,21.9673
35,100.00,50.9324,49.0676,21.6942
36,100.00,52.0036,47.9964,21.4236
37,100.00,53.0614,46.9386,21.1555
38,100.00,54.1059,45.8941,20.8899
39,100.00,55.1372,44.8628,20.6267
40,100.00,56.1555,43.8445,20.3660
41,100.00,57.1609,42.8391,20.1077
42,100.00,58.1535,41.8465,19.8519
43,100.00,59.1334,40.8666,19.5984
44,100.00,60.1008,39.8992,19.3473
45,100.00,61.0557,38.9443,19.0985
46,100.00,61.9983,38.0017,18.8522
47,100.00,62.9287,37.0713,18.6081
48,100.00,63.8470,36.1530,18.3664
49,100.00,64.7534,35.2466,18.1269
50,100.00,65.6478,34.3522,17.8898
51,100.00,66.5306,33.4694,17.6549
52,100.00,67.4017,32.5983,17.4223
53,100.00,68.2613,31.7387,17.1919
54,100.00,69.1095,30.8905,16.9637
55,100.00,69.9464,30.0536,16.7378
56,100.00,70.7721,29.2279,16.5140
57,100.00,71.5867,28.4133,16.2924
58,100.00,72.3903,27.6097,16.0730
59,100.00,73.1831,26.8169,15.8557
60,100.00,73.9652,26.0348,15.6405
61,100.00,74.7365,25.2635,15.4275
62,100.00,75.4974,24.5026,15.2166
63,100.00,76.2477,23.7523,15.0077
64,100.00,76.9878,23.0122,14.8010
65,100.00,77.7176,22.2824,14.5962
66,100.00,78.4373,21.5627,14.3936
67,100.00,79.1469,20.8531,14.1929
68,100.00,79.8466,20.1534,13.9943
69,100.00,80.5365,19.4635,13.7976
70,100.00,81.2167,18.7833,13.6029
71,100.00,81.8872,18.1128,13.4102
72,100.00,82.5482,17.4518,13.2195
73,100.00,83.1997,16.8003,13.0307
74,100.00,83.8419,16.1581,12.8438
75,100.00,84.4748,15.5252,12.6588
76,100.00,85.0986,14.9014,12.4758
77,100.00,85.7133,14.2867,12.2946
78,100.00,86.3191,13.6809,12.1152
79,100.00,86.9160,13.0840,11.9377
80,100.00,87.5041,12.4959,11.7621
